credit_mode,allocator_arm,cost_bps,metric,mean,se,ci_low,ci_high,n
evidence,current_allocator,5.0,gross_annualized_return,0.13940754958500218,0.019345976851355542,0.10149013171059973,0.17732496745940463,10
evidence,current_allocator,5.0,excess_annualized_return,-0.09688630197162872,0.018999604005227315,-0.1341248415423972,-0.05964776240086022,10
evidence,current_allocator,5.0,excess_information_ratio,-0.8035069073368248,0.15846784724961757,-1.11409818065367,-0.49291563401997973,10
evidence,current_allocator,5.0,compounded_net_return,0.2609027617328445,0.04927615770622043,0.1643232673321366,0.3574822561335524,10
evidence,current_allocator,5.0,annualized_cost_drag,0.012466706885397433,0.0007428703363452217,0.011010707780977642,0.013922705989817225,10
evidence,current_allocator,5.0,positive_day_ratio,0.5269461077844311,0.006039550614988806,0.5151088060962463,0.5387834094726158,10
evidence,current_allocator,10.0,net_annualized_return,0.1144741359941622,0.01867637002429951,0.0778691233845917,0.1510791486037327,10
evidence,current_allocator,10.0,net_sharpe,0.7241830276137353,0.09268999187343781,0.542513981814487,0.9058520734129837,10
evidence,current_allocator,10.0,max_drawdown,-0.1490682473962261,0.012654646590236176,-0.1738708989501716,-0.12426559584228059,10
evidence,current_allocator,10.0,turnover,0.09894211813807488,0.005895796320200174,0.08738656969029876,0.110497666585851,10
evidence,current_allocator,10.0,gross_annualized_return,0.13940754958500218,0.019345976851355542,0.10149013171059973,0.17732496745940463,10
evidence,current_allocator,10.0,excess_annualized_return,-0.1093530087670487,0.01867637002429951,-0.1459580213766192,-0.0727479961574782,10
evidence,current_allocator,10.0,excess_information_ratio,-0.9035694688126036,0.15764379018781616,-1.212545619967112,-0.5945933176580951,10
evidence,current_allocator,10.0,compounded_net_return,0.2297679871143834,0.04716030054341951,0.1373354965491964,0.3222004776795704,10
evidence,current_allocator,10.0,annualized_cost_drag,0.024933413770794867,0.0014857406726904434,0.022021415561955283,0.02784541197963445,10
evidence,current_allocator,10.0,positive_day_ratio,0.524750499001996,0.005664741146036806,0.5136478103740217,0.5358531876299703,10
evidence,current_allocator,20.0,net_annualized_return,0.0895407224033223,0.018104188075229264,0.054057165806533414,0.12502427900011118,10
evidence,current_allocator,20.0,net_sharpe,0.560548887271134,0.09157313243549847,0.3810688457460404,0.7400289287962277,10
evidence,current_allocator,20.0,max_drawdown,-0.15691633621916184,0.013674067427150388,-0.18371701589854889,-0.1301156565397748,10
evidence,current_allocator,20.0,turnover,0.09894211813807488,0.005895796320200174,0.08738656969029876,0.110497666585851,10
evidence,current_allocator,20.0,gross_annualized_return,0.13940754958500218,0.019345976851355542,0.10149013171059973,0.17732496745940463,10
evidence,current_allocator,20.0,excess_annualized_return,-0.13428642235788862,0.018104188075229264,-0.1697699789546775,-0.09880286576109974,10
evidence,current_allocator,20.0,excess_information_ratio,-1.102613694698905,0.15629384424808637,-1.4089440004304667,-0.796283388967343,10
evidence,current_allocator,20.0,compounded_net_return,0.16980885376932905,0.043324647708484904,0.08489410461781285,0.2547236029208453,10
evidence,current_allocator,20.0,annualized_cost_drag,0.049866827541589734,0.002971481345380887,0.04404283112391057,0.0556908239592689,10
evidence,current_allocator,20.0,positive_day_ratio,0.5195608782435129,0.005598714434174701,0.508587599592806,0.5305341568942199,10
evidence,current_allocator,30.0,net_annualized_return,0.06460730916674745,0.0176389145262361,0.030035671968944307,0.0991789463645506,10
evidence,current_allocator,30.0,net_sharpe,0.39717623045441897,0.0916537016293367,0.21753827621113897,0.576814184697699,10
evidence,current_allocator,30.0,max_drawdown,-0.16558507652428583,0.014665493758853149,-0.19432891610713496,-0.1368412369414367,10
evidence,current_allocator,30.0,turnover,0.09894211813807488,0.005895796320200174,0.08738656969029876,0.110497666585851,10
evidence,current_allocator,30.0,gross_annualized_return,0.13940754958500218,0.019345976851355542,0.10149013171059973,0.17732496745940463,10
evidence,current_allocator,30.0,excess_annualized_return,-0.15921983559446345,0.0176389145262361,-0.1937914727922666,-0.1246481983966603,10
evidence,current_allocator,30.0,excess_information_ratio,-1.2994234657556616,0.15530760110241412,-1.6038207704417065,-0.9950261610696167,10
evidence,current_allocator,30.0,compounded_net_return,0.11280256092167047,0.039993148371758,0.03441743048465809,0.19118769135868285,10
evidence,current_allocator,30.0,annualized_cost_drag,0.07480024131238461,0.00445722201807133,0.06606424668586586,0.08353623593890336,10
evidence,current_allocator,30.0,positive_day_ratio,0.5151696606786428,0.005680348672918562,0.5040363818600925,0.5263029394971931,10
evidence,current_allocator,50.0,net_annualized_return,0.014740480714397841,0.01706209892331035,-0.018700618675950076,0.048181580104745755,10
evidence,current_allocator,50.0,net_sharpe,0.07335215995128089,0.09510515903288554,-0.11305052649712896,0.2597548463996907,10
evidence,current_allocator,50.0,max_drawdown,-0.18715764618415198,0.015740711219400117,-0.21800887326522178,-0.15630641910308218,10
evidence,current_allocator,50.0,turnover,0.09894211813807488,0.005895796320200174,0.08738656969029876,0.110497666585851,10
evidence,current_allocator,50.0,gross_annualized_return,0.13940754958500218,0.019345976851355542,0.10149013171059973,0.17732496745940463,10
evidence,current_allocator,50.0,excess_annualized_return,-0.20908666404681306,0.017062098923310346,-0.24252776343716098,-0.17564556465646514,10
evidence,current_allocator,50.0,excess_information_ratio,-1.6827687215317724,0.15414596152310622,-1.9848892544793575,-1.3806481885841873,10
evidence,current_allocator,50.0,compounded_net_return,0.0070695570694768615,0.03471992513987982,-0.06098024575061439,0.07511935988956811,10
evidence,current_allocator,50.0,annualized_cost_drag,0.12466706885397434,0.007428703363452219,0.11010707780977642,0.13922705989817225,10
evidence,current_allocator,50.0,positive_day_ratio,0.5087824351297405,0.0060134744134388955,0.4969962418574472,0.5205686284020339,10
evidence,explore_exploit_allocator,0.0,net_annualized_return,0.13940754958500218,0.019345976851355542,0.10149013171059973,0.17732496745940463,10
evidence,explore_exploit_allocator,0.0,net_sharpe,0.8875257339728897,0.09497097027934827,0.7013860526485431,1.0736654152972362,10
evidence,explore_exploit_allocator,0.0,max_drawdown,-0.14152777568926914,0.011652241911564078,-0.16436575017508287,-0.11868980120345539,10
evidence,explore_exploit_allocator,0.0,turnover,0.09894211813807488,0.005895796320200174,0.08738656969029876,0.110497666585851,10
evidence,explore_exploit_allocator,0.0,gross_annualized_return,0.13940754958500218,0.019345976851355542,0.10149013171059973,0.17732496745940463,10
evidence,explore_exploit_allocator,0.0,excess_annualized_return,-0.08441959517620877,0.019345976851355536,-0.1223370130506112,-0.04650217730180633,10
evidence,explore_exploit_allocator,0.0,excess_information_ratio,-0.7032463323030141,0.15939383613054842,-1.0156525104765683,-0.39084015412946005,10
evidence,explore_exploit_allocator,0.0,compounded_net_return,0.29283421457792996,0.05152873893336637,0.191839742099765,0.3938286870560949,10
evidence,explore_exploit_allocator,0.0,annualized_cost_drag,0.0,0.0,0.0,0.0,10
evidence,explore_exploit_allocator,0.0,positive_day_ratio,0.5287425149700599,0.005664741146036803,0.5176398263420856,0.5398452035980341,10
evidence,explore_exploit_allocator,5.0,net_annualized_return,0.1269408427895822,0.018999604005227322,0.0897023032188137,0.1641793823603507,10
evidence,explore_exploit_allocator,5.0,net_sharpe,0.8059256021298195,0.09369046076572496,0.6222956733340356,0.9895555309256033,10
evidence,explore_exploit_allocator,5.0,max_drawdown,-0.14514365856053502,0.012187266411838704,-0.16903026179773356,-0.12125705532333646,10
evidence,explore_exploit_allocator,5.0,turnover,0.09894211813807488,0.005895796320200174,0.08738656969029876,0.110497666585851,10
evidence,explore_exploit_allocator,5.0,gross_annualized_return,0.13940754958500218,0.019345976851355542,0.10149013171059973,0.17732496745940463,10
evidence,explore_exploit_allocator,5.0,excess_annualized_return,-0.09688630197162872,0.018999604005227315,-0.1341248415423972,-0.05964776240086022,10
evidence,explore_exploit_allocator,5.0,excess_information_ratio,-0.8035069073368248,0.15846784724961757,-1.11409818065367,-0.49291563401997973,10
evidence,explore_exploit_allocator,5.0,compounded_net_return,0.2609027617328445,0.04927615770622043,0.1643232673321366,0.3574822561335524,10
evidence,explore_exploit_allocator,5.0,annualized_cost_drag,0.012466706885397433,0.0007428703363452217,0.011010707780977642,0.013922705989817225,10
evidence,explore_exploit_allocator,5.0,positive_day_ratio,0.5269461077844311,0.006039550614988806,0.5151088060962463,0.5387834094726158,10
evidence,explore_exploit_allocator,10.0,net_annualized_return,0.1144741359941622,0.01867637002429951,0.0778691233845917,0.1510791486037327,10
evidence,explore_exploit_allocator,10.0,net_sharpe,0.7241830276137353,0.09268999187343781,0.542513981814487,0.9058520734129837,10
evidence,explore_exploit_allocator,10.0,max_drawdown,-0.1490682473962261,0.012654646590236176,-0.1738708989501716,-0.12426559584228059,10
evidence,explore_exploit_allocator,10.0,turnover,0.09894211813807488,0.005895796320200174,0.08738656969029876,0.110497666585851,10
evidence,explore_exploit_allocator,10.0,gross_annualized_return,0.13940754958500218,0.019345976851355542,0.10149013171059973,0.17732496745940463,10
evidence,explore_exploit_allocator,10.0,excess_annualized_return,-0.1093530087670487,0.01867637002429951,-0.1459580213766192,-0.0727479961574782,10
evidence,explore_exploit_allocator,10.0,excess_information_ratio,-0.9035694688126036,0.15764379018781616,-1.212545619967112,-0.5945933176580951,10
evidence,explore_exploit_allocator,10.0,compounded_net_return,0.2297679871143834,0.04716030054341951,0.1373354965491964,0.3222004776795704,10
evidence,explore_exploit_allocator,10.0,annualized_cost_drag,0.024933413770794867,0.0014857406726904434,0.022021415561955283,0.02784541197963445,10
evidence,explore_exploit_allocator,10.0,positive_day_ratio,0.524750499001996,0.005664741146036806,0.5136478103740217,0.5358531876299703,10
evidence,explore_exploit_allocator,20.0,net_annualized_return,0.0895407224033223,0.018104188075229264,0.054057165806533414,0.12502427900011118,10
evidence,explore_exploit_allocator,20.0,net_sharpe,0.560548887271134,0.09157313243549847,0.3810688457460404,0.7400289287962277,10
evidence,explore_exploit_allocator,20.0,max_drawdown,-0.15691633621916184,0.013674067427150388,-0.18371701589854889,-0.1301156565397748,10
evidence,explore_exploit_allocator,20.0,turnover,0.09894211813807488,0.005895796320200174,0.08738656969029876,0.110497666585851,10
evidence,explore_exploit_allocator,20.0,gross_annualized_return,0.13940754958500218,0.019345976851355542,0.10149013171059973,0.17732496745940463,10
evidence,explore_exploit_allocator,20.0,excess_annualized_return,-0.13428642235788862,0.018104188075229264,-0.1697699789546775,-0.09880286576109974,10
evidence,explore_exploit_allocator,20.0,excess_information_ratio,-1.102613694698905,0.15629384424808637,-1.4089440004304667,-0.796283388967343,10
evidence,explore_exploit_allocator,20.0,compounded_net_return,0.16980885376932905,0.043324647708484904,0.08489410461781285,0.2547236029208453,10
