seed,credit_mode,allocator_arm,config_id,cost_bps,n_days,gross_annualized_return,net_annualized_return,net_sharpe,compounded_net_return,max_drawdown,excess_annualized_return,excess_information_ratio,turnover,annualized_cost_drag,positive_day_ratio
2026073006,adaptation,current_allocator,sm20_rb10_k20_drop2,50.0,501,0.17760097556907434,0.05864288933640285,0.5064149222456782,0.10880263801068124,-0.14107243192564123,-0.16518425542480802,-1.619365410293722,0.09441118687391281,0.11895809546113015,0.5209580838323353
2026073007,adaptation,current_allocator,sm20_rb10_k20_drop2,0.0,501,0.1497588484528955,0.1497588484528955,0.7951675914998965,0.30019870638000623,-0.16774268378525714,-0.07406829630831534,-0.503012154254191,0.11437126249074936,0.0,0.5049900199600799
2026073007,adaptation,current_allocator,sm20_rb10_k20_drop2,5.0,501,0.1497588484528955,0.135348069749839,0.7186958670936294,0.263496542399722,-0.1706728967165344,-0.08847907501137187,-0.6014933788850518,0.11437126249074936,0.01441077907383442,0.5049900199600799
2026073007,adaptation,current_allocator,sm20_rb10_k20_drop2,10.0,501,0.1497588484528955,0.12093729104678251,0.6420740701549391,0.2278094840890712,-0.17359429999217801,-0.10288985371442838,-0.6999253988191888,0.11437126249074936,0.02882155814766884,0.5049900199600799
2026073007,adaptation,current_allocator,sm20_rb10_k20_drop2,20.0,501,0.1497588484528955,0.09211573364066952,0.488582108630337,0.15937142521300496,-0.1794107654990642,-0.13171141112054136,-0.8962158636897268,0.11437126249074936,0.05764311629533768,0.499001996007984
2026073007,adaptation,current_allocator,sm20_rb10_k20_drop2,30.0,501,0.1497588484528955,0.06329417641022515,0.3350955673571934,0.09467319027999332,-0.18519225575733755,-0.16053296835098574,-1.0910369907085,0.11437126249074936,0.08646467444300651,0.49700598802395207
2026073007,adaptation,current_allocator,sm20_rb10_k20_drop2,50.0,501,0.1497588484528955,0.005651061949336434,0.029731913825418888,-0.024294372887318172,-0.1966510076015645,-0.21817608281187445,-1.473008564966483,0.11437126249074936,0.1441077907383442,0.49101796407185627
2026073008,adaptation,current_allocator,sm20_rb10_k20_drop2,0.0,501,0.11567252419945359,0.11567252419945359,1.1210177432506088,0.24527671628072656,-0.08656748357491273,-0.10815462056175731,-0.9500140541822791,0.07844310998916626,0.0,0.5528942115768463
2026073008,adaptation,current_allocator,sm20_rb10_k20_drop2,5.0,501,0.11567252419945359,0.10578869178992185,1.024923344441912,0.2210476663294898,-0.08912669499147907,-0.11803845297128908,-1.0377946287493476,0.07844310998916626,0.009883831858634949,0.5508982035928144
2026073008,adaptation,current_allocator,sm20_rb10_k20_drop2,10.0,501,0.11567252419945359,0.09590485938039005,0.9285632297830647,0.19728029169604278,-0.09167980880608828,-0.12792228538082084,-1.1254157443541566,0.07844310998916626,0.019767663717269898,0.5469061876247505
